,What is your gender?,What is your current level of education?,With whom did you spend your lockdown days?,"Do you think the pandemic and the subsequent lockdown has altered your outlook on life? If yes, whether negatively or positively?",Has the lockdown had an impact on your physical health?,Rate your lockdown experiences on a scale of 1-5  based on the following feelings. ,How often did you do something productive?,Did you do anything for academic improvement?,How did you spend most of your time during the lockdown,Did you do anything for fun and recreation? ,"The average number of hours you spent on social media, in a day? ",How have your eating habits changed?,How has your body weight changed through the lockdown?,Did you experience a loss of appetite?,How often did you exercise?,What made up most of your diet?,To what do you most attribute your eating behavior?,Choose the word that best describes your lockdown experience.,How did you feel in regards to your studies or career?,How do/ did you feel most of the time?,Did you experience a tragic loss of something important?,How often did you indulge in the things you liked to do before?,How would you describe your sleep cycle?,Describe your relationship with your family and friends.,Have ever suffered from a mental illness? if yes what course of action was taken? if not choose NA 1,Have ever suffered from a mental illness? if yes  what course of action was taken? if not choose NA 2,"Please write a very short summary of your lockdown experience in terms of your physical, mental, and emotional health.",Editor's note: We hope you liked our questionnaire; Let us know how much.,,Output Level (1-5),Remarks (section wise rating: I+ II+ III+ IV+ V),
07/08/2020 18:19,Male,Class 10-12,At home with family,"Yes, i'm more pessimistic now",Yes,2,Sometimes,No,"Gaming, Netflix or Other OTT, Sleeping",No,1-2 hours,I overeat,I've gained weight,Not at all,Somedays,Regular home cooked food,Boredom,Numb,Anxious,Agitated/ Irritable,Yes,Rarely,Oversleeping,Toxic and Argumentative,NA,NA,It didnt do much good. Due to every day being like sunday and nothing else to do initially i mostly spent my time on gaming and when academic classes started i wasnt ready to jump start studying .,,,4.3=4,0.3+0.7+0.9+0.6+1.8,
07/08/2020 18:20,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",No,4,Often,I,"Studying /being academically inclined, Household chores, Sleeping","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Boredom,Pleasant,Excited,"Happy, Moody",No,Often,Normal,Fun and expressive,NA,NA,Everything is going good getting more time to study more time to spend with family and not eating outside junk food makes health better,,,1.2=1,0.35+0.1+0.25+0.35+0.15,
07/08/2020 18:23,Female,Class 10-12,At home with family,No effect,No,4,Sometimes,I,"Studying /being academically inclined, Household chores, Netflix or Other OTT",No,1-2 hours,I eat in regulation,I've lost weight,Not at all,Never,Regular home cooked food,Emotional distress,Numb,Anxious,Moody,Yes,Rarely,Normal,Comforting and warm,NA,NA,It was ok. It was like a long vacation or break. Gave time to look upon oneself.,,,2.58=3,0.35+0.3+0.5+0.76+0.67,
07/08/2020 18:27,Female,Class 10-12,At home with family,No effect,Yes,5,Sometimes,No,"Gaming, Household chores","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,Unchanged,Not at all,Somedays,Regular home cooked food,Boredom,Pleasant,Excited,Happy,No,Sometimes,Normal,Fun and expressive,NA,NA,I enjoyed my lockdown. Also even I haven't gained weight.It was quite fun and interesting with my family .,,,1.2=1,0.35+0.25+0.3+0.2+0.1,
07/08/2020 18:29,Female,Class 10-12,At home with family,No effect,No,3,Often,I,Studying /being academically inclined,No,1-2 hours,I overeat,Unchanged,Not at all,Never,Regular home cooked food,Emotional distress,Numb,Motivated,Agitated/ Irritable,No,Rarely,Normal,Comforting and warm,Yes,Yes,Bliss for my introvert persona. ,,,1.9=2,0.35+0.3+0.3+0.3+0.65,
07/08/2020 18:31,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",No,3,Often,I,"Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've lost weight,Not much,Regularly,Regular home cooked food,Hunger,Humbling,Directionless,Moody,No,Often,Normal,Fun and expressive,NA,NA,R,,,1.1=1,0.35+0.2+0.1+0.1+0.35,
07/08/2020 18:32,Male,Class 10-12,At home with family,"Yes, i'm more optimistic now",No,2,Sometimes,No,"Gaming, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,Unchanged,Not at all,Regularly,Regular home cooked food,Boredom,Pleasant,Excited,Satisfied,Yes,Often,Normal,Fun and expressive,NA,NA,Quite good,,,1.2=1,0.25+0.2+0.40.+0.25+0.1,
07/08/2020 18:32,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",Maybe,4,Often,I,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Hunger,Humbling,Excited,Satisfied,No,Often,Normal,Fun and expressive,NA,NA,,,,0.8=1,0.35+0.15+0.1+0.1+0.1,
07/08/2020 18:36,Male,Class 10-12,At home with family,"Yes, i'm more optimistic now",Maybe,5,Quite often,I,"Studying /being academically inclined, Household chores, Sleeping","Yes, I pursued my hobbies",3-4 hours,I overeat,I've lost weight,Somewhat,Somedays,Regular home cooked food,Hunger,Humbling,Excited,"Happy, Satisfied",No,Sometimes,Oversleeping,Comforting and warm,NA,NA,Soothing & humbling,,,1.4=1,0.25+0.1+0.35+0.46+0.24,
07/08/2020 18:37,Male,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,4,Often,I,Studying /being academically inclined,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've gained weight,Significantly,Never,Fried/ junk food,Hunger,Humbling,Motivated,Happy,Yes,Often,Normal,Comforting and warm,NA,NA,bad-->good-->great ,,,1.9=2,0.25+0.25+0.3+0.86+0.24,
07/08/2020 18:37,Male,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,5,Often,I,"Gaming, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",3-4 hours,I overeat,I've gained weight,Not at all,Never,Regular home cooked food,Hunger,Humbling,Excited,Moody,No,Sometimes,Disturbed,Fun and expressive,NA,NA,,,,2.57=3,0.2+0.65+0.45+0.45+0.82,
07/08/2020 18:37,Male,Class 10-12,At home with family,No effect,Maybe,4,Sometimes,I,"Studying /being academically inclined, Gaming, Netflix or Other OTT","Yes, I pursued my hobbies",Almost 6 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Hunger,Pleasant,Motivated,Satisfied,Yes,Sometimes,Disturbed,Comforting and warm,NA,NA,Ups-downs throughout,,,1.75=2,0.35+0.2+0.8+0.15+0.25,
07/08/2020 18:40,Female,Under graduate,At home with family,No effect,No,4,Often,I,Studying /being academically inclined,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Hunger,Pleasant,Motivated,Moody,No,Often,Normal,Comforting and warm,NA,NA,Great experience,,,1.0=1,0.3+0.15+0.25+0.1+0.2,
07/08/2020 18:41,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,5,Rarely,I,"Studying /being academically inclined, Household chores, Sleeping","Yes, I pursued my hobbies",More than 6 hours,I eat in regulation,I've gained weight,Not much,Never,Regular home cooked food,Boredom,Pleasant,Excited,"Happy, Satisfied",No,Often,Oversleeping,Comforting and warm,NA,NA,Ghhhhjm,,,1.8=2,0.3+0.1+0.56+0.44+0.4,
07/08/2020 18:44,Female,Class 10-12,At home with family,"Yes, i'm more pessimistic now",Yes,2,Sometimes,I,"Studying /being academically inclined, Netflix or Other OTT, Sleeping",No,More than 6 hours,I under eat,I've lost weight,Somewhat,Never,Regular home cooked food,Emotional distress,Chaotic,Anxious,Moody,Yes,Rarely,Disturbed,Formal and unyielding,No,Yes,Difficult to deal,,,4.4=4,0.45+0.76+0.85+0.74+1.6,
07/08/2020 18:45,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Often,I,"Household chores, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Boredom,Pleasant,Anxious,Moody,Yes,Rarely,Oversleeping,Fun and expressive,NA,NA,.,,,1.6=2,0.25+0.3+0.3+0.35+0.4,
07/08/2020 18:52,Female,Class 10-12,At home with family,No effect,No,4,Quite often,I,"Gaming, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",3-4 hours,I under eat,Unchanged,Significantly,Somedays,Regular home cooked food,Hunger,Pleasant,Excited,Happy,No,Often,Disturbed,Fun and expressive,NA,NA,"The lockdown has been fun as I did not have to study and I could pay attention to the things I like and enjoy. I am an optimistic human and there was no change in my mental health. If anything, I have a more positive approach towards things in general. No effects on physical or emotional health either. ",,,1.55=2,0.45+0.15+0.35+0.35+0.25,
07/08/2020 18:53,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,5,Often,I,Studying /being academically inclined,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've gained weight,Significantly,Somedays,Regular home cooked food,Emotional distress,Pleasant,Didn't think about it,Moody,No,Sometimes,Normal,Comforting and warm,NA,NA,Physically not satisfied mentally and emotionally got moody,,,1.95=2,0.45+0.25+0.45+0.55+0.25,
07/08/2020 18:56,Male,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,1,Rarely,I,"Gaming, Household chores","Yes, I pursued my hobbies",3-4 hours,I overeat,I've gained weight,Not much,Regularly,Regular home cooked food,Boredom,Numb,Directionless,Moody,Yes,Sometimes,Disturbed,Comforting and warm,NA,NA,Unable to do anything,,,3.76=4,0.2+0.76+.046+0.46+1.88,
07/08/2020 19:03,Male,Under graduate,At home with family,No effect,No,3,Rarely,I,"Household chores, Netflix or Other OTT",No,Almost 6 hours,I overeat,I've gained weight,Not much,Somedays,Regular home cooked food,Hunger,Humbling,Anxious,"Agitated/ Irritable, Moody",No,Sometimes,Normal,Fun and expressive,NA,NA,Boring,,,2.66=3,0.2+0.35+0.76+0.67+0.68,
07/08/2020 19:03,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,2,Sometimes,I,"Household chores, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",3-4 hours,I overeat,Unchanged,Not much,Never,Regular home cooked food,Boredom,Chaotic,Motivated,"Happy, Agitated/ Irritable, Moody",No,Sometimes,Oversleeping,Comforting and warm,NA,NA,"I've had fluctuating feelings during the lockdown, some days I felt like I could do everything I wanted to and just get to the top but sometimes felt restless and didn't think I could do basic stuff.",,,2.27=2,0.45+0.35+0.35+0.56+0.56,
07/08/2020 19:03,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",No,5,Often,I,Studying /being academically inclined,"Yes, I pursued my hobbies",1-2 hours,I eat in regulation,Unchanged,Not much,Regularly,Regular home cooked food,Hunger,Pleasant,Motivated,Satisfied,No,Often,Disturbed,Fun and expressive,NA,NA,Brilliant,,,1.15=1,0.45+0.1+0.2+0.1+0.3,
07/08/2020 19:05,Male,Class 10-12,At home with family,"Yes, i'm more pessimistic now",Maybe,2,Sometimes,I,Netflix or Other OTT,"Yes, I pursued my hobbies",Almost 6 hours,I eat in regulation,I've lost weight,Somewhat,Somedays,Regular home cooked food,Emotional distress,Humbling,Anxious,Moody,No,Sometimes,Normal,Fun and expressive,NA,NA,Normal,,,3.2=3,0.35+0.67+0.8+0.83+0.55,
07/08/2020 19:06,Female,Under graduate,At home with family,No effect,Yes,1,Often,I,Household chores,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not at all,Somedays,Regular home cooked food,Boredom,Numb,Anxious,Moody,Yes,Sometimes,Disturbed,Comforting and warm,NA,NA,Became conscious of physical health and self care but mentally this lockdown is depressing and makinge think unnecessary things ,,,3.22=3,0.3+0.45+0.45+0.35+1.67,
07/08/2020 19:08,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,3,Sometimes,I,Studying /being academically inclined,"Yes, I pursued my hobbies",3-4 hours,I overeat,I've gained weight,Significantly,Never,Fried/ junk food,Boredom,Numb,Anxious,Moody,Yes,Rarely,Disturbed,Formal and unyielding,Yes,Yes,"Physical,  mental and emotional health is not that good as it was used to be. Things are disturbed",,,5,0.45+0.35+0.34+1.36+2.50,
07/08/2020 19:09,Female,Under graduate,At home with family,No effect,Maybe,3,Quite often,I,"Studying /being academically inclined, Household chores, Sleeping","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've lost weight,Not much,Regularly,Regular home cooked food,Hunger,Pleasant,Motivated,"Happy, Moody",No,Often,Disturbed,Fun and expressive,NA,NA,It was good as well as bad experience .this has taught us alot .we have started caring about our health which we used to neglect before .though the buisness and health  loss was hitting mental and emotional health but we will overcome it too.,,,1.64=2,0.3+0.45+0.29+0.3+0.3,
07/08/2020 19:09,Female,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,2,Rarely,No,Household chores,No,More than 6 hours,I eat in regulation,Unchanged,Somewhat,Somedays,Regular home cooked food,Emotional distress,Numb,Directionless,Agitated/ Irritable,Yes,Rarely,Disturbed,Formal and unyielding,No,Yes,Overall not good ,,,3.7=4,0.3+0.76+0.88+0.77+0.99,
07/08/2020 19:10,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,4,Quite often,I,Studying /being academically inclined,"Yes, I pursued my hobbies",More than 6 hours,I eat in regulation,Unchanged,Not at all,Regularly,Regular home cooked food,Boredom,Humbling,Motivated,"Happy, Satisfied, Moody",No,Rarely,Disturbed,Fun and expressive,NA,NA,Just fluctuating always!,,,1.91=2,0.45+0.3+0.56+0.3+0.3,
07/08/2020 19:13,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,2,Quite often,I,"Studying /being academically inclined, Netflix or Other OTT, Sleeping",No,3-4 hours,I overeat,I've gained weight,Somewhat,Regularly,Regular home cooked food,Emotional distress,Numb,Directionless,Moody,Yes,Sometimes,Disturbed,Comforting and warm,Yes,Yes,It has been an unexpected turn out of events changing my view on life about living over the edge financially . It has lead to rejoice the smaller things in life to compensate the uncertainty . corona spreads along with social awkwardness right now .,,,3.8=4,0.3+0.4+0.67+0.67+1.76,
07/08/2020 19:13,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Rarely,I,Netflix or Other OTT,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Somewhat,Somedays,Regular home cooked food,Hunger,Pleasant,Excited,Moody,Yes,Sometimes,Normal,Fun and expressive,NA,NA,Ntg to say.. ,,,1.85=2,0.3+0.35+0.68+0.17+0.35,
07/08/2020 19:13,Female,Class 10-12,At home with family,"Yes, i'm more pessimistic now",Maybe,5,Rarely,I,Studying /being academically inclined,"Yes, I pursued my hobbies",Less than 1 hour,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Boredom,Pleasant,Excited,Satisfied,Yes,Sometimes,Normal,Fun and expressive,NA,NA,In my point of you lockdown is very important for us. I have lockdown because I have spend lot of time with my family and enjoy lockdown days. ,,,1.9=2,0.45+0.55+0.33+0.37+0.2,
07/08/2020 19:14,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,3,Often,No,Household chores,"Yes, I pursued my hobbies",1-2 hours,I overeat,Unchanged,Not much,Somedays,Regular home cooked food,Hunger,Chaotic,Motivated,Moody,No,Sometimes,Disturbed,Fun and expressive,NA,NA,"Okay okay, everytime different mood",,,1.91=2,0.45+0.35+0.36+0.3+0.45,
07/08/2020 19:15,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,1,Rarely,I,"Gaming, Household chores",No,Almost 6 hours,I overeat,I've gained weight,Not at all,Regularly,Regular home cooked food,Hunger,Chaotic,Motivated,"Happy, Satisfied",Yes,Rarely,Normal,Comforting and warm,NA,Yes,"Physical health - excellent, mental health - excited , emotional health - calm",,,2,0.25+0.1+0.76+0.34+0.55,
07/08/2020 19:16,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,3,Often,I,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",Almost 6 hours,I eat in regulation,I've gained weight,Not at all,Regularly,Regular home cooked food,Hunger,Humbling,Motivated,Satisfied,Yes,Sometimes,Normal,Fun and expressive,NA,NA,"What ever it may be, it's just a phase and is eventually gonna pass. Always remember, one step at a time 🤙🏼",,,1.87=2,0.25+0.3+0.57+0.45+0.3,
07/08/2020 19:16,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,3,Sometimes,I,Studying /being academically inclined,"Yes, I pursued my hobbies",More than 6 hours,I overeat,I've gained weight,Not at all,Regularly,Regular home cooked food,Boredom,Humbling,Anxious,Moody,Yes,Often,Disturbed,Formal and unyielding,NA,Yes,Got to do workout  badminton and long drives,,,3.84=4,0.25+0.3+0.67+0.76+1.86,
07/08/2020 19:16,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,3,Sometimes,I,"Gaming, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I under eat,I've gained weight,Somewhat,Regularly,Regular home cooked food,Boredom,Chaotic,Excited,Satisfied,Yes,Sometimes,Disturbed,Fun and expressive,No,No,I’m happy with what I have sometimes there’s ups and downs but ideal with it somehow ,,,1.88=2,0.25+0.28+0.33+0.67+0.35,
07/08/2020 19:19,Male,Class 10-12,At home with family,No effect,Yes,3,Often,I,Gaming,"Yes, I pursued my hobbies",1-2 hours,I under eat,I've lost weight,Somewhat,Somedays,Regular home cooked food,Hunger,Numb,Anxious,Satisfied,No,Sometimes,Disturbed,Fun and expressive,NA,NA,Fine.,,,1.96=2,0.3+0.42+0.55+0.34+0.35,
07/08/2020 19:20,Male,Under graduate,At home with family,No effect,No,4,Often,I,Studying /being academically inclined,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not much,Regularly,Regular home cooked food,Hunger,Humbling,Motivated,Happy,No,Often,Normal,Fun and expressive,NA,NA,My physical and mental heath is improve and a good experience in term of time spent with family,,,1.45=1,0.25+0.38+0.5+0.2+0.12,
07/08/2020 19:24,Female,Under graduate,At home with family,"Yes, i'm more pessimistic now",No,3,Rarely,No,Sleeping,No,Almost 6 hours,I under eat,I've gained weight,Somewhat,Somedays,Regular home cooked food,Hunger,Numb,Anxious,"Agitated/ Irritable, Moody",No,Rarely,Disturbed,Formal and unyielding,NA,NA,"lazy, stress, anxious and depressed",,,3.75=4,0.35+0.55+0.96+0.56+1.33,
07/08/2020 19:24,Female,Postgraduate,At home with family,"Yes, i'm more optimistic now",No,2,Quite often,I,Studying /being academically inclined,"Yes, I pursued my hobbies",1-2 hours,I under eat,Unchanged,Not much,Somedays,Fried/ junk food,Hunger,Numb,Motivated,"Satisfied, Agitated/ Irritable",No,Sometimes,Disturbed,Fun and expressive,Yes,Yes,Good ,,,2.95=3,0.3+0.23+0.5+0.56+.1.36,
07/08/2020 19:25,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,1,Quite often,I,Netflix or Other OTT,"Yes, I pursued my hobbies",Almost 6 hours,I under eat,I've lost weight,Somewhat,Regularly,Regular home cooked food,Hunger,Numb,Directionless,"Agitated/ Irritable, Moody",No,Often,Normal,Comforting and warm,NA,NA,Humbling and made me appreciate the smaller things in life. ,,,2.05=2,0.25+0.12+0.76+0.46+0.46,
07/08/2020 19:25,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,2,Quite often,I,"Studying /being academically inclined, Netflix or Other OTT, Sleeping",No,3-4 hours,I overeat,I've gained weight,Somewhat,Regularly,Regular home cooked food,Emotional distress,Numb,Directionless,Moody,Yes,Sometimes,Disturbed,Comforting and warm,Yes,Yes,It has been an unexpected turn out of events changing my view on life about living over the edge financially . It has lead to rejoice the smaller things in life to compensate the uncertainty . corona spreads along with social awkwardness right now .,,,4.1=4,0.35+0.45+0.4+0.77+2.13,
07/08/2020 19:25,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,3,Sometimes,I,Netflix or Other OTT,No,1-2 hours,I overeat,I've gained weight,Not much,Somedays,Binge ate crisps and snacks,Emotional distress,Numb,Directionless,Moody,Yes,Sometimes,Oversleeping,Comforting and warm,No,Yes,Its been really numb like in every way be it emotionally or physically i cant really see much of a change besides being less productive then i usually am,,,4.25=4,0.45+0.4+0.56+0.88+1.96,
07/08/2020 19:26,Male,Under graduate,Alone,No effect,Maybe,4,Rarely,I,Studying /being academically inclined,No,1-2 hours,I under eat,Unchanged,Not much,Regularly,Regular home cooked food,Hunger,Pleasant,Excited,Happy,No,Rarely,Normal,Fun and expressive,No,Yes,Normal,,,2.64=3,0.4+0.45+0.6+0.64+0.55,
07/08/2020 19:26,Female,Under graduate,Alone,"Yes, i'm more optimistic now",Yes,3,Often,I,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I under eat,I've lost weight,Significantly,Somedays,Regular home cooked food,Emotional distress,Numb,Excited,"Happy, Moody, Sad",Yes,Often,Disturbed,Formal and unyielding,No,Yes,I don't feel like expressing. ,,,3.77=4,0.4+0.4+0.25+0.98+1.74,
07/08/2020 19:27,Male,Under graduate,At home with family,"Yes, i'm more pessimistic now",No,3,Often,I,"Gaming, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,Unchanged,Not at all,Somedays,Regular home cooked food,Hunger,Humbling,Didn't think about it,Satisfied,Yes,Sometimes,Oversleeping,Comforting and warm,No,No,"The Unpredictable moment in one's life, I don't think this experience may ever be appearing again in our lives. So whatever it is, we should be self-contained as well as be aware of the current situations.",,,1.82=2,0.25+0.67+0.35+0.2+0.35,
07/08/2020 19:28,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Often,I,"Studying /being academically inclined, Netflix or Other OTT, Sleeping",No,3-4 hours,I eat in regulation,Unchanged,Somewhat,Regularly,Regular home cooked food,Hunger,Humbling,Excited,"Happy, Agitated/ Irritable, Moody",Yes,Sometimes,Disturbed,Fun and expressive,No,No,I'm fine,,,1.75=2,0.25+0.35+0.55+0.25+0.35,
07/08/2020 19:28,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Never,I,Studying /being academically inclined,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not at all,Regularly,Regular home cooked food,Hunger,Numb,Directionless,Happy,No,Never,Normal,Fun and expressive,Yes,Yes,My lockdown experience is very nice. ,,,2.59=3,0.35+0.25+0.59+0.2+1.2,
